Date,Merchant,Amount,Currency,Markup
2026-06-01,AMZN MKTP*12345,1250,INR,0
2026-06-03,SWIGGY*ORDER458,450,INR,0
2026-06-05,UBER INDIA,220,INR,0
2026-06-07,NETFLIX.COM,649,INR,0
2026-06-10,AMZN MKTP*78654,899,INR,0
2026-06-12,AIRTEL MOBILE,799,INR,0
2026-06-15,Spotify P,119,INR,0
2026-06-18,AMZN MKTP*22222,560,INR,0
2026-06-20,Dominos Pizza,720,INR,0
2026-07-02,AMZN MKTP*33333,1599,INR,0
2026-07-04,SWIGGY*ORDER987,430,INR,0
2026-07-07,NETFLIX.COM,649,INR,0
2026-07-10,AIRTEL MOBILE,799,INR,0
2026-07-12,UBER INDIA,350,INR,0
2026-07-15,Spotify P,119,INR,0
2026-07-18,AMZN MKTP*44444,1250,INR,0
2026-07-20,BookMyShow,850,INR,0
2026-07-23,SWIGGY*ORDER555,610,INR,0
2026-07-28,Pharmacy,560,INR,0
2026-08-01,AMZN MKTP*55555,2199,INR,0
2026-08-03,SWIGGY*ORDER666,480,INR,0
2026-08-05,UBER INDIA,290,INR,0
2026-08-07,NETFLIX.COM,649,INR,0
2026-08-10,AIRTEL MOBILE,799,INR,0
2026-08-12,Spotify P,119,INR,0
2026-08-15,Udemy Course,999,INR,0
2026-08-20,Amazon UK,12000,GBP,0
2026-08-20,FOREIGN TRANSACTION MARKUP,360,INR,0
