Date,Merchant,Amount,Currency,Markup
2026-06-01,Amazon,2499,INR,0
2026-06-03,Swiggy,520,INR,0
2026-06-05,Uber,310,INR,0
2026-06-07,Netflix,649,INR,0
2026-06-10,Flipkart,1899,INR,0
2026-06-12,Airtel Mobile Bill,799,INR,0
2026-06-15,Spotify,119,INR,0
2026-06-18,Amazon,899,INR,0
2026-06-20,Dominos Pizza,780,INR,0
2026-06-25,Uber,280,INR,0
2026-07-02,Amazon,1599,INR,0
2026-07-04,Swiggy,430,INR,0
2026-07-07,Netflix,649,INR,0
2026-07-10,Airtel Mobile Bill,799,INR,0
2026-07-12,Uber,350,INR,0
2026-07-15,Spotify,119,INR,0
2026-07-18,Amazon,1250,INR,0
2026-07-20,BookMyShow,850,INR,0
2026-07-23,Swiggy,610,INR,0
2026-07-28,Pharmacy,560,INR,0
2026-08-01,Amazon,2199,INR,0
2026-08-03,Swiggy,480,INR,0
2026-08-05,Uber,290,INR,0
2026-08-07,Netflix,649,INR,0
2026-08-10,Airtel Mobile Bill,799,INR,0
2026-08-12,Spotify,119,INR,0
2026-08-15,Amazon,750,INR,0
2026-08-18,Udemy Course,999,INR,0
2026-08-20,Hotel Booking,4500,INR,0
2026-08-25,Amazon UK,12000,GBP,360
